similitud,id_A,nombre_A,act_A,precio_A,id_B,nombre_B,act_B,precio_B,ambos_activos
1.0,628,Dedos de Queso (3pz),No,45.0,822,DEDOS DE QUESO 3 PZA,Si,47.0,
1.0,629,Dedos de queso (8pz),No,110.0,269,DEDOS DE QUESO 8 PZA,Si,80.0,
1.0,831,RAMEN Habanero Limon- buldak,No,75.0,195,RAMEN HABANERO LIMON - BULDAK,No,60.0,
1.0,831,RAMEN Habanero Limon- buldak,No,75.0,832,RAMEN Habanero limón  - BULDAK,Si,77.0,
1.0,195,RAMEN HABANERO LIMON - BULDAK,No,60.0,832,RAMEN Habanero limón  - BULDAK,Si,77.0,
1.0,350,CREPA DULCE,No,25.0,748,CREPA- DULCE,Si,37.0,
1.0,157,PHILADELPHIA CREPA,No,0.0,760,PHILADELPHIA - CREPA,Si,35.0,
1.0,197,MINI PIZZA PEPERONI,No,40.0,196,MINI PIZZA - PEPERONI,Si,45.0,
0.979,389,FRUTOS ROJOS BOBAH TEA'S,Si,63.0,109,FRUTOS ROJOS BOBA TEA´S,Si,63.0,SÍ
0.974,197,MINI PIZZA PEPERONI,No,40.0,712,MINI PIZZA - _PEPPERONI,No,45.0,
0.974,196,MINI PIZZA - PEPERONI,Si,45.0,712,MINI PIZZA - _PEPPERONI,No,45.0,
0.968,879,chuleta ahumada,Si,25.0,870,chuleta ahumanda,Si,25.0,SÍ
0.968,775,PAPAS FRITAS - CORTE DELGADO 120g,No,25.0,776,PAPAS FRITAS - CORTE DELGADO 170g,No,29.0,
0.968,775,PAPAS FRITAS - CORTE DELGADO 120g,No,25.0,777,PAPAS FRITAS - CORTE DELGADO 280g,No,40.0,
0.968,778,PAPAS FRITAS - CORTE DELGADO 350g,No,50.0,779,PAPAS FRITAS - CORTE DELGADO 500g,No,60.0,
0.966,785,PAPAS FRITAS - CORTE CURLY 350g,No,65.0,786,PAPAS FRITAS - CORTE CURLY 500g,No,75.0,
0.964,780,PAPAS FRITAS - CORTE GAJO 170g,No,40.0,781,PAPAS FRITAS - CORTE GAJO 270g,Si,50.0,
0.963,193,RAMEN HOT CHICKEN 2X - BULDAK,Si,75.0,358,RAMEN HOT CHICKEN 3X - BULDAK,No,75.0,
0.958,812,RANCH HABANERO ADEREZO G,Si,30.0,811,RANCH HABANERO ADEREZO M,Si,20.0,SÍ
0.957,851,matcha coco,Si,75.0,891,MMATCHA COCO,Si,0.0,SÍ
0.957,650,AJO PARMESANO ADEREZO G,Si,0.0,461,AJO PARMESANO ADEREZO M,Si,0.0,SÍ
0.957,266,RANCH CREMOSO ADEREZO G,Si,30.0,264,RANCH CREMOSO ADEREZO M,Si,20.0,SÍ
0.955,841,MOSTAZA MIEL ADEREZO G,Si,30.0,842,MOSTAZA MIEL ADEREZO M,Si,20.0,SÍ
0.952,729,BLUE CHEESE ADEREZO G,Si,30.0,730,BLUE CHEESE ADEREZO M,Si,20.0,SÍ
0.951,179,CREMA PASTELERA MINI DONAS 14PZ,Si,0.0,186,CREMA PASTELERA MINI DONAS 8PZ,Si,0.0,SÍ
0.951,714,MUNCHERS - PALOMITAS DE PAPA - 12 PZA,Si,65.0,715,MUNCHERS - PALOMITAS DE PAPA - 6 PZA,Si,40.0,SÍ
0.95,567,Ramen Hot Chicken 2x,No,120.0,568,Ramen Hot Chicken 3x,No,120.0,
0.947,826,MOCHI VAINILLA 120g,Si,75.0,824,MOCHI VAINILLA 180g,Si,95.0,SÍ
0.944,628,Dedos de Queso (3pz),No,45.0,629,Dedos de queso (8pz),No,110.0,
0.944,628,Dedos de Queso (3pz),No,45.0,269,DEDOS DE QUESO 8 PZA,Si,80.0,
0.944,628,Dedos de Queso (3pz),No,45.0,268,DEDOS DE QUESO PZA,Si,12.0,
0.944,629,Dedos de queso (8pz),No,110.0,268,DEDOS DE QUESO PZA,Si,12.0,
0.944,629,Dedos de queso (8pz),No,110.0,822,DEDOS DE QUESO 3 PZA,Si,47.0,
0.944,269,DEDOS DE QUESO 8 PZA,Si,80.0,268,DEDOS DE QUESO PZA,Si,12.0,SÍ
0.944,269,DEDOS DE QUESO 8 PZA,Si,80.0,822,DEDOS DE QUESO 3 PZA,Si,47.0,SÍ
0.944,268,DEDOS DE QUESO PZA,Si,12.0,822,DEDOS DE QUESO 3 PZA,Si,47.0,SÍ
0.943,675,ZARZAMORA CHIPOTLE SALSA CH,Si,0.0,676,ZARZAMORA CHIPOTLE SALSA G,Si,0.0,SÍ
0.941,876,ICE COFE,Si,76.0,867,ICE COFFE,No,65.0,
0.941,733,MANGO HABANERO X2 SALSA CH,Si,0.0,734,MANGO HABANERO X2 SALSA G,Si,0.0,SÍ
0.941,193,RAMEN HOT CHICKEN 2X - BULDAK,Si,75.0,192,RAMEN HOT CHICKEN - BULDAK,Si,75.0,SÍ
0.941,358,RAMEN HOT CHICKEN 3X - BULDAK,No,75.0,192,RAMEN HOT CHICKEN - BULDAK,Si,75.0,
