id,nombre_actual,categoria_actual,nombre_propuesto,categoria_propuesta,accion,favorito,precio,n_grupos
4,CAFÉ AMERICANO,Bebidas Gatunas Calientes / Café's Y Chocolates,Café Americano,Bebidas Calientes,RENOMBRAR,f,50.00,0
5,CAPUCCINO,Bebidas Gatunas Calientes / Café's Y Chocolates,Capuccino,Bebidas Calientes,RENOMBRAR,f,63.00,0
6,CARAMEL LATTE MACCHIATO,Bebidas Gatunas Calientes / Café's Y Chocolates,Caramel Latte Macchiato,Bebidas Calientes,RENOMBRAR,f,63.00,0
7,CHAI LATTE,Bebidas Gatunas Calientes / Café's Y Chocolates,Chai Latte,—(a modificadores)—,CONVERTIR_A_OPCION,f,63.00,1
8,CHOCOCINO,Bebidas Gatunas Calientes / Café's Y Chocolates,Chococino,—(a modificadores)—,CONVERTIR_A_OPCION,f,63.00,0
10,CHOCOLATE CALIENTE 16 OZ,Bebidas Gatunas Calientes / Café's Y Chocolates,Chocolate Caliente 16 Oz,—(a modificadores)—,CONVERTIR_A_OPCION,f,63.00,0
11,CHOCOLATE OAXACA 16 OZ,Bebidas Gatunas Calientes / Café's Y Chocolates,Chocolate Oaxaca 16 Oz,Bebidas Calientes,RENOMBRAR,f,69.00,0
12,LATTE 12 OZ,Bebidas Gatunas Calientes / Café's Y Chocolates,Latte 12 Oz,Bebidas Calientes,RENOMBRAR,f,63.00,0
13,LATTE MACCHIATO,Bebidas Gatunas Calientes / Café's Y Chocolates,Latte Macchiato,Bebidas Calientes,RENOMBRAR,f,63.00,0
14,MOKA (MOCHA),Bebidas Gatunas Calientes / Café's Y Chocolates,Moka (mocha),Bebidas Calientes,RENOMBRAR,f,63.00,0
15,FRUTOS ROJOS TÉ'S,Bebidas Gatunas Calientes / Té's,Frutos Rojos Té's,Bebidas Calientes,RENOMBRAR,f,25.00,0
22,AGUA DE MANGO - LITRO,Bebidas Gatunas Frías / Aguas Frescas,Agua De Mango - Litro,Bebidas Frías,RENOMBRAR,f,25.00,0
26,CAFÉ CAPPUCCINO  - OKF 240 ml,Bebidas Gatunas Frías / Bebidas Coreanas,Café Cappuccino - Okf 240 Ml,Bebidas Frías,RENOMBRAR,f,55.00,0
27,CAFÉ LATTE - OKF 240 ml,Bebidas Gatunas Frías / Bebidas Coreanas,Café Latte - Okf 240 Ml,Bebidas Frías,RENOMBRAR,f,55.00,0
28,CAFÉ MACCHIATO CARAMEL - OKF 240 ml,Bebidas Gatunas Frías / Bebidas Coreanas,Café Macchiato Caramel - Okf 240 Ml,Bebidas Frías,RENOMBRAR,f,55.00,0
29,CAFÉ MOCHA (MOKA) - OKF 240 ml,Bebidas Gatunas Frías / Bebidas Coreanas,Café Mocha (moka) - Okf 240 Ml,Bebidas Frías,RENOMBRAR,f,55.00,0
30,CANTABILE CAFÉ VAINILLA AMERICANO - 230ml,Bebidas Gatunas Frías / Bebidas Coreanas,Cantabile Café Vainilla Americano - 230ml,Bebidas Frías,RENOMBRAR,f,58.00,0
31,CANTABILE FRESA - 230ml,Bebidas Gatunas Frías / Bebidas Coreanas,Cantabile Fresa - 230ml,Bebidas Frías,RENOMBRAR,f,58.00,0
32,CANTABILE GRANADA - 230ml,Bebidas Gatunas Frías / Bebidas Coreanas,Cantabile Granada - 230ml,Bebidas Frías,RENOMBRAR,f,58.00,0
33,CANTABILE MANGO (Doble Mango) - 230ml,Bebidas Gatunas Frías / Bebidas Coreanas,Cantabile Mango (doble Mango) - 230ml,Bebidas Frías,RENOMBRAR,f,58.00,0
34,CANTABILE MANZANA - 230ml,Bebidas Gatunas Frías / Bebidas Coreanas,Cantabile Manzana - 230ml,Bebidas Frías,RENOMBRAR,f,58.00,0
35,CANTABILE MORA AZUL - 230ml,Bebidas Gatunas Frías / Bebidas Coreanas,Cantabile Mora Azul - 230ml,Bebidas Frías,RENOMBRAR,f,58.00,0
36,CANTABILE NARANJA - 230ml,Bebidas Gatunas Frías / Bebidas Coreanas,Cantabile Naranja - 230ml,Bebidas Frías,RENOMBRAR,f,58.00,0
37,CANTABILE SANDÍA - 230ml,Bebidas Gatunas Frías / Bebidas Coreanas,Cantabile Sandía - 230ml,Bebidas Frías,RENOMBRAR,f,58.00,0
38,CANTABILE TÉ HELADO DURAZNO - 230ml,Bebidas Gatunas Frías / Bebidas Coreanas,Cantabile Té Helado Durazno - 230ml,Bebidas Frías,RENOMBRAR,f,58.00,0
39,CANTABILE UVA VERDE - 230ml,Bebidas Gatunas Frías / Bebidas Coreanas,Cantabile Uva Verde - 230ml,Bebidas Frías,RENOMBRAR,f,58.00,0
41,CHUPA CHUPS BEBIDA FRESA,Bebidas Gatunas Frías / Bebidas Coreanas,Chupa Chups Bebida Fresa,Bebidas Frías,RENOMBRAR,f,55.00,0
42,CHUPA CHUPS BEBIDA MANGO,Bebidas Gatunas Frías / Bebidas Coreanas,Chupa Chups Bebida Mango,Bebidas Frías,RENOMBRAR,f,55.00,0
44,CHUPA CHUPS BEBIDA NARANJA,Bebidas Gatunas Frías / Bebidas Coreanas,Chupa Chups Bebida Naranja,Bebidas Frías,RENOMBRAR,f,55.00,0
45,CHUPA CHUPS BEBIDA RASPBERRY (FRAMBUESA),Bebidas Gatunas Frías / Bebidas Coreanas,Chupa Chups Bebida Raspberry (frambuesa),Bebidas Frías,RENOMBRAR,f,55.00,0
59,HATA MORA AZUL,Bebidas Gatunas Frías / Bebidas Coreanas,Hata Mora Azul,Bebidas Frías,RENOMBRAR,f,65.00,0
67,MILKIS DURAZNO 250 ml,Bebidas Gatunas Frías / Bebidas Coreanas,Milkis Durazno 250 Ml,Bebidas Frías,RENOMBRAR,f,43.00,0
68,MILKIS FRESA 250 ml,Bebidas Gatunas Frías / Bebidas Coreanas,Milkis Fresa 250 Ml,Bebidas Frías,RENOMBRAR,f,43.00,0
69,MILKIS MANZANA 250 ml,Bebidas Gatunas Frías / Bebidas Coreanas,Milkis Manzana 250 Ml,Bebidas Frías,RENOMBRAR,f,43.00,0
70,MILKIS MELÓN 250 ml,Bebidas Gatunas Frías / Bebidas Coreanas,Milkis Melón 250 Ml,Bebidas Frías,RENOMBRAR,f,43.00,0
71,MILKIS ORIGINAL 250 ml,Bebidas Gatunas Frías / Bebidas Coreanas,Milkis Original 250 Ml,Bebidas Frías,RENOMBRAR,f,43.00,0
76,RAMUNE FRESA,Bebidas Gatunas Frías / Bebidas Coreanas,Ramune Fresa,Bebidas Frías,RENOMBRAR,f,75.00,0
77,RAMUNE LIMON,Bebidas Gatunas Frías / Bebidas Coreanas,Ramune Limon,Bebidas Frías,RENOMBRAR,f,75.00,0
78,RAMUNE LYCHEE,Bebidas Gatunas Frías / Bebidas Coreanas,Ramune Lychee,Bebidas Frías,RENOMBRAR,f,75.00,0
79,RAMUNE MELON,Bebidas Gatunas Frías / Bebidas Coreanas,Ramune Melon,Bebidas Frías,RENOMBRAR,f,75.00,0
81,RAMUNE NARANJA,Bebidas Gatunas Frías / Bebidas Coreanas,Ramune Naranja,Bebidas Frías,RENOMBRAR,f,75.00,0
82,RAMUNE ORIGINAL,Bebidas Gatunas Frías / Bebidas Coreanas,Ramune Original,Bebidas Frías,RENOMBRAR,f,75.00,0
83,RAMUNE UVA,Bebidas Gatunas Frías / Bebidas Coreanas,Ramune Uva,Bebidas Frías,RENOMBRAR,f,75.00,0
84,Soda coreana,Bebidas Gatunas Frías / Bebidas Coreanas,Soda Coreana,—(a modificadores)—,CONVERTIR_A_OPCION,f,70.00,0
85,SOJU AMERICANO,Bebidas Gatunas Frías / Bebidas Coreanas,Soju Americano,Bebidas Frías,RENOMBRAR,f,100.00,0
86,SOJU BLUE BERRY (MORA AZUL),Bebidas Gatunas Frías / Bebidas Coreanas,Soju Blue Berry (mora Azul),Bebidas Frías,RENOMBRAR,f,100.00,0
87,SOJU CITRON,Bebidas Gatunas Frías / Bebidas Coreanas,Soju Citron,Bebidas Frías,RENOMBRAR,f,100.00,0
88,SOJU DURAZNO,Bebidas Gatunas Frías / Bebidas Coreanas,Soju Durazno,Bebidas Frías,RENOMBRAR,f,100.00,0
89,SOJU FRESA,Bebidas Gatunas Frías / Bebidas Coreanas,Soju Fresa,Bebidas Frías,RENOMBRAR,f,100.00,0
90,SOJU MANDARINA,Bebidas Gatunas Frías / Bebidas Coreanas,Soju Mandarina,Bebidas Frías,RENOMBRAR,f,100.00,0
91,SOJU MANGO,Bebidas Gatunas Frías / Bebidas Coreanas,Soju Mango,Bebidas Frías,RENOMBRAR,f,100.00,0
93,SOJU MANZANA VERDE,Bebidas Gatunas Frías / Bebidas Coreanas,Soju Manzana Verde,Bebidas Frías,RENOMBRAR,f,100.00,0
94,SOJU ORIGINAL,Bebidas Gatunas Frías / Bebidas Coreanas,Soju Original,Bebidas Frías,RENOMBRAR,f,100.00,0
95,SOJU SAERO,Bebidas Gatunas Frías / Bebidas Coreanas,Soju Saero,Bebidas Frías,RENOMBRAR,f,100.00,0
96,SOJU UVA,Bebidas Gatunas Frías / Bebidas Coreanas,Soju Uva,Bebidas Frías,RENOMBRAR,f,100.00,0
97,SOJU YOGURT,Bebidas Gatunas Frías / Bebidas Coreanas,Soju Yogurt,Bebidas Frías,RENOMBRAR,f,100.00,0
98,HARD THE KITTEN,Bebidas Gatunas Frías / BEBIDAS KPOP,Hard The Kitten,—(a modificadores)—,CONVERTIR_A_OPCION,f,89.00,1
99,LILAC PURR LATTE,Bebidas Gatunas Frías / BEBIDAS KPOP,Lilac Purr Latte,—(a modificadores)—,CONVERTIR_A_OPCION,f,89.00,1
100,RED THE FLAVOR VELVET,Bebidas Gatunas Frías / BEBIDAS KPOP,Red The Flavor Velvet,—(a modificadores)—,CONVERTIR_A_OPCION,f,89.00,1
101,RING DING DONG,Bebidas Gatunas Frías / BEBIDAS KPOP,Ring Ding Dong,—(a modificadores)—,CONVERTIR_A_OPCION,f,89.00,1
102,SODA COREANA CANTABILE,Bebidas Gatunas Frías / BEBIDAS KPOP,Soda Coreana Cantabile,—(a modificadores)—,CONVERTIR_A_OPCION,f,68.00,1
103,TWICE TASTIC KITTY,Bebidas Gatunas Frías / BEBIDAS KPOP,Twice Tastic Kitty,—(a modificadores)—,CONVERTIR_A_OPCION,f,89.00,1
