ID,Categoría,Subcategoría,Código,Nombre del articulo,Descripción,Tipo de articulo,Precio,Costo,Proveedor,Activo,Favorito,Control de Stock,Stock,Margen,Contiene modificadores,Permitir vender solo,Posición,SKU,Nombre de variante,GTIN
390,Adicionales,,,ADEREZO DE QUESO CH,,Alimentos y bebidas preparados,10,,Sam's Club,Si,No,Si,,,No,Si,26700000,,,
709,Adicionales,,,BASE AGUA BOBAH TEA,,Alimentos y bebidas preparados,0,,,Si,No,No,,,No,No,57300000,,,
729,Adicionales,,,BLUE CHEESE ADEREZO G,,Alimentos y bebidas preparados,30,9.06784,,Si,No,Si,,20.93216,No,Si,59300000,,,
730,Adicionales,,,BLUE CHEESE ADEREZO M,,Alimentos y bebidas preparados,20,4.53392,,Si,No,Si,,15.46608,No,Si,59400000,,,
701,Adicionales,,,BOBAH GRANIZADO,,Alimentos y bebidas preparados,15,,,Si,No,No,,,No,No,56700000,,,
275,Adicionales,,,CAJUN SAZONADOR G,,Alimentos y bebidas preparados,10,16.9,,Si,No,Si,,-6.9,No,No,14300000,,,
400,Adicionales,,,camisa L,,Alimentos y bebidas preparados,1,,,No,No,No,,,No,No,27300000,,,
399,Adicionales,,,camisa XL,,Alimentos y bebidas preparados,1,,,No,No,No,,,No,No,27200000,,,
269,Adicionales,,DED8,DEDOS DE QUESO 8 PZA,,Alimentos y bebidas preparados,75,57.98425,,Si,No,Si,,17.01575,Si,Si,500000,,,
268,Adicionales,,DED,DEDOS DE QUESO PZA,,Alimentos y bebidas preparados,10,6.58175,GRUVI,Si,No,No,,3.41825,No,Si,400000,,,
410,Adicionales,,,ENVIO,,Alimentos y bebidas preparados,20,300,,Si,No,No,,-280,No,Si,28000000,,,
347,Adicionales,,,GRANILLO CHOCOLATE - Decoración crepa,,Alimentos y bebidas preparados,0,0.64,,Si,No,Si,,-0.64,No,No,22700000,,,
660,Adicionales,,,HUEVO PROTEINA,,Alimentos y bebidas preparados,0,2.89,,Si,No,Si,,-2.89,No,No,52700000,,,
314,Adicionales,,,LECHE DESLACTOSADA,,Alimentos y bebidas preparados,0,4.3567,,Si,No,Si,,-4.3567,No,No,19700000,,,
313,Adicionales,,,LECHE ENTERA,,Alimentos y bebidas preparados,0,3.4846,,Si,No,Si,,-3.4846,No,No,19600000,,,
687,Adicionales,,,LUNETAS - Toppings Crepa,,Alimentos y bebidas preparados,10,,,Si,No,Si,,,No,No,55400000,,,
686,Adicionales,,,MANGO EN ALMIBAR - Fruta crepa,,Alimentos y bebidas preparados,15,,,Si,No,Si,,,No,No,55300000,,,
464,Adicionales,,,MARACUYA - Jellys,,Alimentos y bebidas preparados,15,,COMERCIAL DE VASOS,Si,No,Si,,,No,No,33200000,,,
633,Adicionales,,,PAPAS A LA FRANCESA (170g),,Alimentos y bebidas preparados,29,,,No,No,Si,,,No,No,50000000,,,
258,Adicionales,,,+ PAPAS A LA FRANCESA CH,,Alimentos y bebidas preparados,25,,,No,No,Si,,,No,No,12300000,,,
274,Adicionales,,,PAPAS A LA FRANCESA IND (170gr),,Alimentos y bebidas preparados,0,9.1783,,No,No,Si,,-9.1783,No,No,200000,,,
259,Adicionales,,,+ PAPAS A LA FRANCESA M,,Alimentos y bebidas preparados,30,,,No,No,Si,,,No,No,12400000,,,
270,Adicionales,,,PAPAS F CH (130g),,Alimentos y bebidas preparados,29,9.3414,,No,No,Si,,19.6586,No,No,11900000,,,
272,Adicionales,,,PAPAS F G (380g),,Alimentos y bebidas preparados,50,20.6739,,No,No,Si,,29.3261,No,No,12100000,,,
273,Adicionales,,,PAPAS F J (500g),,Alimentos y bebidas preparados,60,27.0351,,No,No,Si,,32.9649,No,No,12200000,,,
271,Adicionales,,,PAPAS F M (250g),,Alimentos y bebidas preparados,35,13.7826,,No,No,Si,,21.2174,No,No,12000000,,,
661,Adicionales,,,POLLO PROTEINA,,Alimentos y bebidas preparados,0,9.72,,Si,No,Si,,-9.72,No,No,52800000,,,
276,Adicionales,,,QUESO CHEDAR SAZONADOR G,,Alimentos y bebidas preparados,10,,,Si,No,Si,,,No,No,14400000,,,
266,Adicionales,,,RANCH ADEREZO G,,Alimentos y bebidas preparados,30,9.00848,,Si,No,Si,,20.99152,No,Si,600000,,,
264,Adicionales,,,RANCH ADEREZO M,,Alimentos y bebidas preparados,20,4.05424,,Si,No,No,,15.94576,No,Si,700000,,,
448,Adicionales,,,Sazonador papas,,Alimentos y bebidas preparados,5,3.3,,No,No,Si,,1.7,No,No,31600000,,,
301,Adicionales,,,SIN CREMA BATIDA,,Alimentos y bebidas preparados,0,,,Si,No,No,,,No,No,18400000,,,
351,Adicionales,,,Sin perlas explosivas,,Alimentos y bebidas preparados,0,,,Si,No,No,,,No,No,23000000,,,
662,Adicionales,,,SIN PROTEINA,,Alimentos y bebidas preparados,0.01,,,Si,No,Si,,,No,No,52900000,,,
368,Adicionales,,,TAPIOCA,,Alimentos y bebidas preparados,15,6.2286,,Si,No,Si,,8.7714,No,No,24500000,,,
697,Adicionales,,,TENDERS PROTEINA,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,56400000,,,
628,Alitas y Boneless,,,Dedos de Queso (3pz),,Alimentos y bebidas preparados,45,,,No,No,No,,,No,Si,49500000,,,
629,Alitas y Boneless,,,Dedos de queso (8pz),,Alimentos y bebidas preparados,110,,,No,No,No,,,No,Si,49600000,,,
736,Alitas y Boneless,,,LOUISIANA SALSA G,,Alimentos y bebidas preparados,0,7.0884,,Si,No,Si,,-7.0884,No,No,60000000,,,
411,Bebidas Calientes,,,CHAI LATTE VAINILLA,,Alimentos y bebidas preparados,45,,,Si,No,Si,,,No,Si,28100000,,,
402,Bebidas Calientes,,,CHAI MIEL,,Alimentos y bebidas preparados,45,,,Si,No,Si,,,No,Si,27500000,,,
320,Bebidas Calientes,,TEA,TEA'S,Bebidas calientes,Alimentos y bebidas preparados,15,,,Si,No,Si,,,Si,Si,20100000,,,
139,Bebidas Calientes,Café's Y Chocolates,,CAFÉ ESPESSO 12 OZ,,Alimentos y bebidas preparados,35,,,Si,No,Si,,,No,Si,1500000,,,
140,Bebidas Calientes,Café's Y Chocolates,,CAPUCCINO,,Alimentos y bebidas preparados,45,,,Si,No,Si,,,No,Si,2100000,,,
141,Bebidas Calientes,Café's Y Chocolates,,CARAMEL LATTE MACCHIATO,,Alimentos y bebidas preparados,45,,,Si,No,Si,,,No,Si,2200000,,,
