ID,Categoría,Nombre,Costo,Proveedor,Unidad,Control de Stock,Stock,Merma
267,Abarrotes,Palillos chinos - 1 par,77.68,,unid.,Si,133.0,
250,Abarrotes,Tortillas,13.0,Tienda Abarrotes,kg,Si,4.0,3.0
50,Aceites,Aceite Comestible Puro De Canola Vita 825ml,39.67,Aurrera,L,Si,-6.125,
86,Aceites,Aceite Member 20 L,43.43,Sam's Club,L,Si,-294.2,
109,Aceites,Ingrediente Prueba,0.0,,L,No,,
245,Aderezos,Aderezo Blue Cheese - L,75.62,MERCADO LIBRE,L,Si,1.573,2.0
349,Aderezos,Aderezo Honey Mustard (Mostaza Miel) 3.7kg,342.07,Custom Culinary,unid.,Si,1.0,0.0
328,Aderezos,Ajo Parmesano Aderezo - L Mr Wings,0.0,Mr Wings,L,Si,-0.336,7.0
203,Aderezos,Caldo de pollo Knorr en polvo,125.0,Aurrera,kg,Si,0.009,1.0
337,Aderezos,Hot BBQ L - Custom Culinary,71.07,Custom Culinary,L,Si,3.785,5.0
125,Aderezos,Mayonesa 870g,92.5,Aurrera,unid.,Si,,5.0
263,Aderezos,Miguelito 1kg,87.6,Dulceria rosita,kg,Si,-2.194,5.0
341,Aderezos,Ranch Habanero - L Custom Culinary,87.84,MERCADO LIBRE,L,Si,0.887,7.0
117,Aderezos,Salsa Picante L,30.0,Sam's Club,L,Si,-90.277,3.0
320,Aderezos,Salsa Roja Chilaquiles,46.23014,,L,Si,,7.0
127,Aderezos,Salsa Verde Chilaquiles,28.99962,,L,Si,,7.0
342,Aderezos,Smoky Bbq - L Custom Culinary,139.13,MERCADO LIBRE,L,Si,0.458,7.0
339,Aderezos,Sobre salsa catsup Heinz 9g,0.0,Sam's Club,unid.,Si,,
107,Agua,Agua Mineral 2L 3B,6.5,3B,L,Si,-223.36,
93,Agua,Garrafon Agua Bonafont,1.0,Tienda Abarrotes,L,No,20.0,
359,Alimentos en bolsa,BULDAK SWICY,0.0,,unid.,Si,,
315,Alimentos en bolsa,Maruchan Vaso Queso - 64 Gr,15.21,MERCADO LIBRE,unid.,Si,0.0,
171,Alimentos en bolsa,Ramen Carbonara - Buldak,40.0,ML - TOYO FOODS,unid.,Si,-15.0,
329,Alimentos en bolsa,Ramen Carbonara - Volcano,30.41,MEGAFOOD,unid.,Si,0.0,
233,Alimentos en bolsa,Ramen Cheese - Ottogi,52.5,,unid.,Si,-2.0,
179,Alimentos en bolsa,Ramen Cream Carbonara - Buldak,35.0,,unid.,Si,-17.0,
188,Alimentos en bolsa,Ramen Curry - Buldak,29.0,,unid.,Si,6.0,
172,Alimentos en bolsa,Ramen Habanero Limon - Buldak,0.0,,unid.,Si,,
345,Alimentos en bolsa,Ramen Habanero Limon-Buldak,75.0,,unid.,No,4.0,
174,Alimentos en bolsa,Ramen Hot Chicken 2X - Buldak,26.57,,unid.,Si,8.0,
175,Alimentos en bolsa,Ramen Hot Chicken 3X -Buldak,40.0,,unid.,Si,0.0,
173,Alimentos en bolsa,Ramen Hot Chicken - Buldak,32.0,,unid.,Si,10.0,
176,Alimentos en bolsa,Ramen Hot Chicken Cheese - Buldak,27.98,,unid.,Si,3.0,
185,Alimentos en bolsa,Ramen Hot Pepper - Buldak,0.0,,unid.,Si,0.0,
184,Alimentos en bolsa,Ramen Jin - Ottogi,0.0,,unid.,No,0.0,
186,Alimentos en bolsa,Ramen Jjajang - Buldak,32.0,,unid.,Si,0.0,
243,Alimentos en bolsa,Ramen Kimchi - Buldak,0.0,,unid.,Si,0.0,
187,Alimentos en bolsa,Ramen Kimchi - Otoggi,40.0,,unid.,Si,-3.0,
256,Alimentos en bolsa,Ramen Kimchi - Paldo,30.59,,unid.,Si,21.0,
178,Alimentos en bolsa,Ramen Kimchi - Samyang,25.6,,unid.,Si,-1.0,
183,Alimentos en bolsa,Ramen Lovely Hot Chicken - Buldak,41.33,,unid.,Si,0.0,
177,Alimentos en bolsa,Ramen Picante Shin Ramyun - Nongshim,26.5,ML - GUVALFOODS,unid.,Si,-2.0,
308,Alimentos en bolsa,Ramen Pollo - Otoki,40.0,,unid.,Si,,
189,Alimentos en bolsa,Ramen Quattro Cheese - Buldak,40.0,,unid.,Si,24.0,
299,Alimentos en bolsa,Ramen Ramyon Pollo - Ottogi,2.19,ML - TOYO FOODS,unid.,Si,0.0,
181,Alimentos en bolsa,Ramen Rosé - Buldak,45.0,,unid.,Si,0.0,
190,Alimentos en bolsa,Ramen Samyang - Samyang,14.0,,unid.,Si,0.0,
347,Alimentos en bolsa,Ramen samyang Tom Yum- buldak,0.0,,unid.,Si,,
182,Alimentos en bolsa,Ramen Tomato Hot Chicken - Buldak,0.0,,unid.,Si,0.0,
346,Alimentos en bolsa,Ramen Tomy Yum - buldak samyang,75.0,,unid.,Si,,
180,Alimentos en bolsa,Ramen Yakisoba Hot Chicken - Buldak,0.0,,unid.,Si,0.0,
300,Alimentos en bolsa,Rapokki de queso - Yopokki 260g,52.0,MEGAZONE,unid.,Si,0.0,
213,Azúcar y sustitutos,Azúcar estándar Aurrera 900 g,25.0,Aurrera,unid.,Si,1.0,3.0
221,Bases Frappe,Base Algodón de Azúcar - MIG,213.15,MIG,kg,Si,1.8,3.0
224,Bases Frappe,Base Choco Avellana - MIG,493.29,MIG,kg,Si,0.848,3.0
219,Bases Frappe,Base Fresas con Crema 1Kg - MIG,213.15,MIG,kg,Si,0.3,3.0
223,Bases Frappe,Base Matcha Té Verde 1kg - MIG,284.49,MIG,kg,Si,0.4,1.0
220,Bases Frappe,Base Mix Red Velvet (1Kg) - MIG,258.39,MIG,kg,Si,1.1,1.0
225,Bases Frappe,Base sabor Chocolate Blanco kg - MIG,397.59,MIG,kg,Si,1.6,1.0
227,Bases Frappe,Base Sabor Vainilla kg - MIG,397.59,MIG,kg,Si,0.8,1.0
222,Bases Frappe,Base Té Chai Vainilla (Tipo Elefante) Kg - MIG,493.29,MIG,kg,Si,2.4,1.0
361,Bases Frappe,DRAGON FRUIT,0.0,,fl oz,Si,,
363,Bases Frappe,FRAPPÉ MAGNUM,0.0,,fl oz,Si,,
364,Bases Frappe,FRAPPÉ MORDISCO,0.0,,fl oz,Si,,
119,Bases Frappe,Polvo Zaachila Strawberry Cream,201.47,Sam's Club,kg,Si,0.25,0.0
365,Bebidas asiaticas preparadas,CHAMOYADA PELON,0.0,,fl oz,Si,,
360,Bebidas asiaticas preparadas,FRUTOS ROJOS,0.0,,fl oz,Si,,
235,Bebidas asiaticas preparadas,Ice talk Blue Lemanade 230ml,25.0,DOKSURI,unid.,Si,0.0,0.0
234,Bebidas asiaticas preparadas,Ice Talk Durazno 230ml,25.0,DOKSURI,unid.,Si,-3.0,0.0
236,Bebidas asiaticas preparadas,Ice Talk Sandía 230ml,25.0,DOKSURI,unid.,Si,1.0,0.0
358,Bebidas asiaticas preparadas,matcha coco,0.0,,fl oz,Si,,
350,Bebidas asiaticas preparadas,PERLAS CHAMOY,12.0,Colday,fl oz,Si,,0.0
367,Bebidas asiaticas preparadas,perlas de sandia,0.0,,fl oz,Si,,0.0
130,Carnes y Pollo,Pechuga de Pollo,90.0,Aurrera,kg,No,,7.0
210,Carnes y Pollo,Pepperoni Campestre por kilo,304.0,Aurrera,kg,Si,-0.31,7.0
255,Carnes y Pollo,Tenders GRVI,128.0,GRUVI,kg,Si,0.3,7.0
266,Concentrados y Jarabes,Calpis - 1L,144.0,Casa del Chef,L,Si,1.0,7.0
154,Concentrados y Jarabes,Concentrado Baileys - L Sirope,75.0,La Casa del Cheff,L,Si,-3.95,5.0
156,Concentrados y Jarabes,Concentrado Banana - L Sirope,74.0,La Casa del Cheff,L,Si,2.0,5.0
161,Concentrados y Jarabes,Concentrado Bubalo - L Sirope,69.0,La Casa del Cheff,L,Si,-2.256,5.0
157,Concentrados y Jarabes,Concentrado Cereza - L Sirope,69.0,La Casa del Cheff,L,Si,2.0,5.0
162,Concentrados y Jarabes,Concentrado Chicle - L Sirope,69.0,La Casa del Cheff,L,Si,1.0,5.0
159,Concentrados y Jarabes,Concentrado Frutos de la Pasión - L Sirope,69.0,La Casa del Cheff,L,Si,2.0,5.0
160,Concentrados y Jarabes,Concentrado Kiwi - L Sirope,69.0,La Casa del Cheff,L,Si,1.0,5.0
228,Concentrados y Jarabes,Concentrado Limón Dulce,110.49,MIG,L,Si,2.0,
155,Concentrados y Jarabes,Concentrado Manzana Verde - L Sirope,69.0,La Casa del Cheff,L,Si,1.0,5.0
158,Concentrados y Jarabes,Concentrado Moza Azul - L Sirope,69.0,La Casa del Cheff,L,Si,1.0,5.0
151,Concentrados y Jarabes,Concentrado Pulpa de Mango - L Sirope,70.0,La Casa del Cheff,L,Si,-0.385,5.0
152,Concentrados y Jarabes,Concentrado Pulpa de Maracuya - L Sirope,70.0,La Casa del Cheff,L,Si,1.0,5.0
298,Concentrados y Jarabes,Vainilla,50.0,,L,Si,,3.0
73,Congelados,Alitas Picosas FC 6X2 KG,145.0,GRUVI,kg,Si,-27.4,7.0
311,Congelados,Aros de Cebolla Kg,88.51,GRUVI,kg,Si,0.9,7.0
237,Congelados,Boneless - Kg,128.0,Carnicos B&B,kg,Si,-26.017,7.0
47,Congelados,Dedos de Queso Kg,204.54,GRUVI,kg,Si,0.487,3.0
310,Congelados,Jalapeños Rellenos Kg,178.03,GRUVI,kg,Si,3.645,7.0
238,Congelados,Munchers Kg,80.0,GRUVI,kg,Si,1.778,7.0
309,Congelados,Papa Carita Kg,152.0,GRUVI,kg,Si,0.0,7.0
116,Congelados,Papa Corte Delgado Kg,52.57,GRUVI,kg,Si,-29.959,7.0
239,Congelados,Papa Corte Espiral Sazonado Kg,72.95,GRUVI,kg,Si,0.0,7.0
304,Congelados,Papa Corte Gajo Sazonados Kg,62.0,GRUVI,kg,Si,-1.71,7.0
74,Congelados,Papa Corte Ondulado Kg,53.01,GRUVI,kg,Si,0.0,7.0
242,Congelados,Papa Corte Regular Cascara Kg,53.01,GRUVI,kg,Si,-26.288,7.0
336,Congelados,Pizza Hawaiana Individual - FUD 265g,0.0,Sigma Foodservice,unid.,Si,,
38,Congelados,Pizza Red Baron 1.97 Kg - 4 Quesos,24.92,Sam's Club,unid.,Si,11.0,
37,Congelados,Pizza Red Baron 1.97 Kg - Pepperoni,24.92,Sam's Club,unid.,Si,-6.0,
209,"Consomés, salsas ya derezos",Salsa Hunts cuatro quesos 360 g,82.0,Aurrera,kg,Si,-5.446,3.0
344,Decoración,Azúcar glass,55.0,Aurrera,kg,Si,,7.0
246,Decoración,Chamoy,38.0,Aurrera,L,Si,-8.853,3.0
153,Decoración,Confetti comestible,140.0,La Casa del Cheff,kg,Si,0.0,5.0
294,Decoración,Granillo cappuccino,0.0,,kg,Si,0.695,7.0
293,Decoración,Granillo fresa,0.0,,kg,Si,1.273,7.0
226,Decoración,Perlas Explosivas Cereza 1kg - MIG,162.69,MIG,kg,Si,1.0,10.0
193,Decoración,Perlas Explosivas Chicle Azul - Colday,139.2,Colday,kg,Si,2.5,10.0
196,Decoración,Perlas explosivas Dragon Fruit - Colday,147.2,Colday,kg,Si,2.5,10.0
195,Decoración,Perlas explosivas fresa - Colday,139.2,Colday,kg,Si,2.5,10.0
192,Decoración,Perlas explosivas kiwi - Colday,139.2,Colday,kg,Si,2.5,10.0
194,Decoración,Perlas explosivas Mango - Colday,139.2,Colday,kg,Si,2.5,10.0
197,Decoración,Perlas explosivas Manzana Verde - Colday,139.2,Colday,kg,Si,2.5,10.0
63,Desechables,16MJ32 ENVASE DART BOWL MEDIO,0.5,TD Empaques,unid.,Si,-72.0,
115,Desechables,Bolsa,0.2,TD Empaques,unid.,Si,,1.0
145,Desechables,C-0 CAMISETA NEGRO P.B. (30*34),48.0,TD Empaques,kg,Si,1.0,1.0
146,Desechables,C-2 CAMISETA NEGRO P.B. (25*52),55.0,TD Empaques,kg,Si,1.0,1.0
147,Desechables,C-3 CAMISETA NEGRO P.B. (30*60),55.0,TD Empaques,kg,Si,1.0,1.0
88,Desechables,Charola 7 Cuevas,1.92,TD Empaques,unid.,Si,-712.0,
144,Desechables,CHAROLA 7 REYMA,1.1,TD Empaques,unid.,Si,50.0,
241,Desechables,CHAROLA P/ALIMENTOS MINI BCO [ECO403],3.88,GRUVI,unid.,Si,,
61,Desechables,Contenedor 7x7 Liso Reyma,2.1,TD Empaques,unid.,Si,-536.0,
