Modificador,ID Grupo modificador,Título,Mínima cantidad,Máxima cantidad
ALITAS CH - 250g,46,Aderezos Extra,0,9
BONELESS M - 370g,46,Aderezos Extra,0,9
BONELESS G - 500g,46,Aderezos Extra,0,9
ALITAS G - 500g,46,Aderezos Extra,0,9
ALITAS M - 370g,46,Aderezos Extra,0,9
TENDERS 5 PZ,46,Aderezos Extra,0,9
DEDOS DE QUESO PZA,46,Aderezos Extra,0,9
DEDOS DE QUESO 8 PZA,46,Aderezos Extra,0,9
BONELESS J - 1 Kg,46,Aderezos Extra,0,9
ALITAS J - 1 Kg,46,Aderezos Extra,0,9
BONELESS CH - 250g,46,Aderezos Extra,0,9
PALDO KOKOMEN,46,Aderezos Extra,0,9
FRAPPÉ GATUNO,10,,1,1
COMBO BONELESS GATO FRIEND ZONE (250GR),25,Elige tu refresco,1,1
COMBO ALITAS GATO FRIEND ZONE (250gr),25,Elige tu refresco,1,1
COMBO BONELESS GATO MIMADO (500gr),26,Agrega tus refrescos,2,2
COMBO ALITAS GATO MIMADO (500gr),26,Agrega tus refrescos,2,2
BOBAH TEA,95,Has tu bobah Granizado,0,1
CREPA SALADA,39,,1,1
CREPA- DULCE,38,Elige tu decoración,0,3
CREPA DULCE,38,Elige tu decoración,0,3
CAJETA - CREPA,38,Elige tu decoración,0,3
LECHERA - CREPA,38,Elige tu decoración,0,3
PHILADELPHIA - CREPA,38,Elige tu decoración,0,3
KINDER BUENO - CREPA,38,Elige tu decoración,0,3
KINDER DELICE - CREPA,38,Elige tu decoración,0,3
Creppa Baileys,38,Elige tu decoración,0,3
CREMA BATIDA - CREPA,38,Elige tu decoración,0,3
NUTELLA - CREPAa,38,Elige tu decoración,0,3
RAMEN HOT CHICKEN - BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN HOT CHICKEN 2X - BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN HOT CHICKEN CHEESE - BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN SHIN RAMYUN - NONGSHIM,89,Ingrediente Extra Ramen,1,8
RAMEN HABANERO LIMON - BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN HOT CHICKEN 3X - BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN KIMCHI - SAMYANG,89,Ingrediente Extra Ramen,1,8
RAMEN ROSÉ - BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN QUATTRO CHEESE - BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN JIN - OTTOGI,89,Ingrediente Extra Ramen,1,8
RAMEN CREAM CARBONARA - BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN TOMATO HOT CHICKEN - BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN LOVELY HOT CHICKEN - BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN YAKISOBA HOT CHICKEN -BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN KIMCHI - OTTOGI,89,Ingrediente Extra Ramen,1,8
RAMEN HOT PEPPER - BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN JJAJANG - BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN CHEESE - OTTOGI,89,Ingrediente Extra Ramen,1,8
COMBO COREAN,89,Ingrediente Extra Ramen,1,8
RAMEN KIMCHI - PALDO,89,Ingrediente Extra Ramen,1,8
RAMEN CARBONARA - BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN Habanero limón  - BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN SAMYANG ORIGINAL - SAMYANG,89,Ingrediente Extra Ramen,1,8
RAMEN SAMYANG Tom Yumy- BULDAK,89,Ingrediente Extra Ramen,1,8
RAMEN CARBONARA VOLCANO - Paldo,89,Ingrediente Extra Ramen,1,8
BULKDAK TACO,89,Ingrediente Extra Ramen,1,8
RAMEN KIMCHI - BULDAK,89,Ingrediente Extra Ramen,1,8
SHIN RAMEN TOOMBA,89,Ingrediente Extra Ramen,1,8
OTTOGI ODONGTONG MYON,89,Ingrediente Extra Ramen,1,8
NOMGSHIM SOON VEGGIE,89,Ingrediente Extra Ramen,1,8
COMPAGGUETTI,89,Ingrediente Extra Ramen,1,8
UDON,89,Ingrediente Extra Ramen,1,8
RAMEN HOT CHICKEN - BULDAK,80,Elije el ingrediente,1,1
RAMEN HOT CHICKEN 2X - BULDAK,80,Elije el ingrediente,1,1
RAMEN HOT CHICKEN CHEESE - BULDAK,80,Elije el ingrediente,1,1
RAMEN SHIN RAMYUN - NONGSHIM,80,Elije el ingrediente,1,1
RAMEN HABANERO LIMON - BULDAK,80,Elije el ingrediente,1,1
RAMEN HOT CHICKEN 3X - BULDAK,80,Elije el ingrediente,1,1
RAMEN KIMCHI - SAMYANG,80,Elije el ingrediente,1,1
RAMEN ROSÉ - BULDAK,80,Elije el ingrediente,1,1
RAMEN QUATTRO CHEESE - BULDAK,80,Elije el ingrediente,1,1
RAMEN JIN - OTTOGI,80,Elije el ingrediente,1,1
RAMEN CREAM CARBONARA - BULDAK,80,Elije el ingrediente,1,1
RAMEN TOMATO HOT CHICKEN - BULDAK,80,Elije el ingrediente,1,1
RAMEN LOVELY HOT CHICKEN - BULDAK,80,Elije el ingrediente,1,1
RAMEN YAKISOBA HOT CHICKEN -BULDAK,80,Elije el ingrediente,1,1
Ramen Champaguetti,80,Elije el ingrediente,1,1
Ramen Tradicional,80,Elije el ingrediente,1,1
Ramen Kimchi,80,Elije el ingrediente,1,1
Ramen Kimchi Spicy,80,Elije el ingrediente,1,1
Ramen Hot Chicken Cheese,80,Elije el ingrediente,1,1
