ID Grupo modificador,Titulo,Producto,Precio,Máxima cantidad
101,Aderezo de cortesía,BLUE CHEESE ADEREZO M,0.0,1.0
101,Aderezo de cortesía,RANCH CREMOSO ADEREZO M,0.0,1.0
101,Aderezo de cortesía,RANCH HABANERO ADEREZO M,0.0,1.0
46,Aderezos Extra,RANCH CREMOSO ADEREZO G,30.0,2.0
46,Aderezos Extra,RANCH CREMOSO ADEREZO M,20.0,2.0
46,Aderezos Extra,RANCH HABANERO ADEREZO G,30.0,2.0
46,Aderezos Extra,RANCH HABANERO ADEREZO M,30.0,2.0
10,,CREMA BATIDA,0.0,1.0
10,,SIN CREMA BATIDA,0.0,1.0
25,Elige tu refresco,COCA COLA 355ml,0.0,1.0
25,Elige tu refresco,SANGRIA 400ML,0.0,1.0
26,Agrega tus refrescos,COCA COLA 355ml,0.0,2.0
26,Agrega tus refrescos,SANGRIA 400ML,0.0,2.0
111,,FLAMING. 1,8.0,1.0
111,,RAMEN PANKO,8.0,1.0
19,,PAPAS A LA FRANCESA IND (170gr),20.0,1.0
116,BANDERILLA COIREANA,COMBINADA,15.0,1.0
116,BANDERILLA COIREANA,QUESO,25.0,1.0
104,,BANDERILLA COREANA,10.0,1.0
104,,QUESO,15.0,1.0
39,,CREPA CHAMPIÑONES,15.0,1.0
39,,CREPA HAWAIANA,15.0,1.0
39,,CREPIZZA HAWAIANA,15.0,1.0
39,,CREPIZZA PEPPERONI,15.0,1.0
38,Elige tu decoración,ALMENDRAS - Decoración crepa,0.0,
38,Elige tu decoración,AZÚCAR GLASS - Decoración crepa,0.0,
38,Elige tu decoración,CANELA - Decoración Crepa,0.0,
38,Elige tu decoración,CHISPAS DE CHOCOLATE - Decoración crepa,0.0,
38,Elige tu decoración,CHOCOMENTAS - Decoración crepa,0.0,
38,Elige tu decoración,GRANILLO CAPPUCCINO - Decoración crepa,0.0,
38,Elige tu decoración,GRANILLO CHOCOLATE - Decoración crepa,0.0,
38,Elige tu decoración,GRANILLO FRESA - Decoración crepa,0.0,
38,Elige tu decoración,LUNETAS M&M's - Decoración crepa,0.0,
38,Elige tu decoración,NUEZ - Decoración crepa,0.0,
38,Elige tu decoración,"No, gracias",0.0,1.0
38,Elige tu decoración,miel maple,0.0,1.0
99,Agrega fruta,DURAZNOS EN ALMIBAR - Fruta crepa,20.0,
99,Agrega fruta,FRESA - Fruta crepa,20.0,
99,Agrega fruta,FRUTOS ROJOS - Fruta crepa,20.0,
99,Agrega fruta,MANGO EN ALMIBAR - Fruta crepa,20.0,
99,Agrega fruta,"No, gracias",0.0,1.0
99,Agrega fruta,PLATANO - Fruta crepa,20.0,
89,Ingrediente Extra Ramen,AJONJOLÍ,0.0,1.0
89,Ingrediente Extra Ramen,CHAMPIÑÓN - RAMEN,20.0,1.0
