ID,Categoría,Subcategoría,Código,Nombre,Descripción,Precio,Costo,Proveedor,Activo,Favorito,Control de Stock,Stock,Margen,Contiene modificadores,Permitir vender solo,Posición,Tienda Online,Menú QR,Vender sin stock
411,Bebidas Gatunas Calientes,,,CHAI LATTE VAINILLA,,45.0,,,Si,No,Si,,,No,Si,28300000,Si,Según categoría,Si
402,Bebidas Gatunas Calientes,,,CHAI MIEL,,45.0,,,Si,No,Si,,,No,Si,27700000,Si,Según categoría,Si
320,Bebidas Gatunas Calientes,,TEA,TEA'S,Bebidas calientes,15.0,,,Si,No,Si,,,Si,Si,20600000,Si,Según categoría,Si
139,Bebidas Gatunas Calientes,Café's Y Chocolates,,CAFÉ AMERICANO,,50.0,,,Si,No,Si,,,No,Si,1500000,Si,Según categoría,No
140,Bebidas Gatunas Calientes,Café's Y Chocolates,,CAPUCCINO,,63.0,,,Si,No,Si,,,No,Si,2100000,Si,Según categoría,Si
141,Bebidas Gatunas Calientes,Café's Y Chocolates,,CARAMEL LATTE MACCHIATO,,63.0,,,Si,No,Si,,,No,Si,2200000,Si,Según categoría,No
146,Bebidas Gatunas Calientes,Café's Y Chocolates,,CHAI LATTE,,63.0,,,Si,No,No,,,Si,Si,2700000,Según categoría,Según categoría,Si
142,Bebidas Gatunas Calientes,Café's Y Chocolates,,CHOCOCINO,,63.0,,,Si,No,Si,,,No,No,3800000,Según categoría,Según categoría,No
144,Bebidas Gatunas Calientes,Café's Y Chocolates,,CHOCOLATE BLANCO 16 OZ,,50.0,,,No,No,Si,,,No,Si,4000000,Según categoría,Según categoría,No
143,Bebidas Gatunas Calientes,Café's Y Chocolates,,CHOCOLATE CALIENTE 16 OZ,,63.0,,,Si,No,Si,,,No,No,4300000,Según categoría,Según categoría,No
145,Bebidas Gatunas Calientes,Café's Y Chocolates,,CHOCOLATE OAXACA 16 OZ,,69.0,,,Si,No,Si,,,No,Si,4900000,Según categoría,Según categoría,Si
147,Bebidas Gatunas Calientes,Café's Y Chocolates,,LATTE 12 OZ,,63.0,,,Si,No,Si,,,No,Si,8600000,Según categoría,Según categoría,Si
148,Bebidas Gatunas Calientes,Café's Y Chocolates,,LATTE MACCHIATO,,63.0,,,Si,No,Si,,,No,Si,8700000,Según categoría,Según categoría,Si
149,Bebidas Gatunas Calientes,Café's Y Chocolates,,MOKA (MOCHA),,63.0,110.55,,Si,No,Si,-3.0,-47.55,No,Si,11300000,Según categoría,Según categoría,Si
138,Bebidas Gatunas Calientes,Té's,,CANELA MANZANA TÉ´S,,0.0,,,Si,No,Si,,,No,No,2000000,Según categoría,Según categoría,Si
321,Bebidas Gatunas Calientes,Té's,,FRUTOS ROJOS TÉ'S,,25.0,,,Si,No,Si,,,No,Si,20700000,Según categoría,Según categoría,No
137,Bebidas Gatunas Calientes,Té's,,FUSIÓN HERBAL TÉ´S,,0.0,,,Si,No,Si,,,No,No,7200000,Según categoría,Según categoría,Si
136,Bebidas Gatunas Calientes,Té's,,HIERBABUENA TÉ´S,,0.0,,,Si,No,Si,,,No,No,7900000,Según categoría,Según categoría,Si
134,Bebidas Gatunas Calientes,Té's,,LIMÓN TÉ´S,,0.0,,,Si,No,Si,,,No,No,9100000,Según categoría,Según categoría,Si
135,Bebidas Gatunas Calientes,Té's,,MANZANILLA TÉ´S,,0.0,,,Si,No,Si,,,No,No,10100000,Según categoría,Según categoría,Si
460,Bebidas Gatunas Frías,,,CHOCOLATE FRIO,,55.0,,,Si,No,No,,,No,No,33000000,Según categoría,Según categoría,Si
787,Bebidas Gatunas Frías,,,Helado Flotante Limón,,50.0,26.27058,,No,No,Si,,23.72942,No,Si,64600000,Según categoría,Según categoría,Si
386,Bebidas Gatunas Frías,,,Leche 200 ml Vainilla Santa Clara,,0.0,5.0,,No,No,Si,,-5.0,No,No,26500000,Según categoría,Según categoría,Si
387,Bebidas Gatunas Frías,,LEC_PROM,Lechita 200ml Promo 3x25,,25.0,,,No,No,Si,,,No,No,26600000,Según categoría,Según categoría,Si
385,Bebidas Gatunas Frías,,LEC_200,Lechita Santa Clara 200ml,,10.0,,,No,No,Si,,,No,No,26400000,Según categoría,Según categoría,Si
393,Bebidas Gatunas Frías,,VAQ_PROM,Vaquitas Promo 2x35,,35.0,18.0,,No,No,Si,,17.0,No,Si,27200000,Según categoría,Según categoría,Si
774,Bebidas Gatunas Frías,Aguas Frescas,,AGUA DE MANGO - LITRO,,25.0,,,Si,No,Si,,,No,Si,63300000,Según categoría,Según categoría,Si
656,Bebidas Gatunas Frías,Bebidas Coreanas,,AMERICANO BLACK - MCNULTY,,47.0,25.0,DOKSURI,No,No,Si,0.0,22.0,No,Si,52000000,Según categoría,Según categoría,Si
643,Bebidas Gatunas Frías,Bebidas Coreanas,,AMERICANO SWEET - MCNULTY,,47.0,25.0,,No,No,Si,0.0,22.0,No,Si,50700000,Según categoría,Según categoría,Si
665,Bebidas Gatunas Frías,Bebidas Coreanas,,ARIZONA KIWI FRESA,,25.0,14.41,Sam's Club,Si,No,Si,,10.59,No,No,52900000,Según categoría,Según categoría,Si
586,Bebidas Gatunas Frías,Bebidas Coreanas,,ARIZONA MANGO,,25.0,14.41,Sam's Club,Si,No,Si,,10.59,No,No,45000000,Según categoría,Según categoría,Si
