Producto,Ingrediente,Cantidad,Unidad
BBQ A LA DIABLA SALSA CH,BBQ a la Diabla Salsa - L Sirope,0.06,L
CREMA BATIDA,Manga crema batida - On Top 453gr,0.05,kg
SODA EXPLOSIVA,VASO 16L REYMA,1.0,unid.
SODA EXPLOSIVA,ROLLO PARA MÁQUINA SELLADORA 90MM,1.0,unid.
SODA EXPLOSIVA,Bolsa de Hielo Fiesta 15 Kg,0.12,kg
SODA EXPLOSIVA,Agua Mineral 2L 3B,0.32,L
CONEJITO TURIN CREPA,Charola 7 Cuevas,1.0,unid.
CONEJITO TURIN CREPA,Rollo Aluminio,1.0,unid.
PAPAS F M (250g),Papa Corte Ondulado Kg,0.26,kg
ORIGINAL HOT SALSA CH,Original Hot Salsa - L Mr Wings,0.06,L
NARANJA CHIPOTLE SALSA CH,Naranja con Chipotle Salsa - L Mr Wings,0.06,L
MANGO HABANERO SALSA CH,Mango Habanero Salsa - L Mr Wings,0.06,L
SRIRACHA SALSA CH,Oriental Sriracha Salsa - L Mr Wings,0.06,L
BBQ HABANERO SALSA CH,BBQ Habanero Salsa - L Mr Wings,0.06,L
MINI PIZZA - PEPERONI,Pizza Red Baron 1.97 Kg - Pepperoni,1.0,unid.
MINI PIZZA - 4 QUESOS,Pizza Red Baron 1.97 Kg - 4 Quesos,1.0,unid.
CONEJITO TURIN CREPA,Papel alimenticio,0.005,kg
CONEJITO TURIN CREPA,Mezcla Crepas,0.402,unid.
MEZCAT SALSA CH,Mezcal Salsa - L Mr Wings,0.06,L
ORIGINAL HOT SALSA G,Original Hot Salsa - L Mr Wings,0.12,L
STRAWBERRY CREAM (FRESA) FRAPPÉ,Polvo Zaachila Strawberry Cream,0.045,kg
CONEJITO TURIN CREPA,Conejito - Turín,2.0,unid.
CONEJITO TURIN CREPA,Nutella 1kg,0.062,kg
CONEJITO TURIN CREPA,Queso Crema Philadelphia,0.065,kg
CONEJITO TURIN CREPA,Duraznos en almibar,0.094,kg
NUTELLA MINI DONAS 14PZ,Mezcla Masa Mini Donas Bote,0.438,unid.
NUTELLA MINI DONAS 8PZ,Mezcla Masa Mini Donas Bote,0.25,unid.
CONEJITO TURIN CREPA,Azúcar glass,0.005,kg
CONEJITO TURIN CREPA,Chispas Chocolate - Herseys 1kg,0.015,kg
FRESA SPICY SALSA CH,Fresa Hot Salsa - L Sirope,0.06,L
FLAMIN HOT SALSA CH,Flamin Hot Salsa - L Sirope,0.06,L
JALAPEÑO SPICY SALSA CH,Jalapeño Hot (Hot Jalapeño) - L Sirope,0.06,L
MANGO GUAJILLO SALSA CH,Bufalo Salsa - L Sirope,0.06,L
CHINGU TERIYAKI SALSA CH,Oriental Teriyaki Salsa - L Mr Wings,0.06,L
TAMARINDO SALSA CH,Tamarindo Natural Salsa - L Mr Wings,0.06,L
CAJÚN SALSA CH,Cajún estilo Louisiana Salsa - L Mr Wings,0.06,L
BÚFALO SALSA CH,Salsa para Alitas RedHot Buffalo L,0.06,L
MANGO HOT SALSA CH,Mango Hot Salsa - L Mr Wings,0.06,L
CHINGU TERIYAKI SALSA G,Oriental Teriyaki Salsa - L Mr Wings,0.09,L
BBQ HABANERO SALSA G,BBQ Habanero Salsa - L Mr Wings,0.09,L
BÚFALO SALSA G,Salsa para Alitas RedHot Buffalo L,0.09,L
CAJÚN SALSA G,Cajún estilo Louisiana Salsa - L Mr Wings,0.09,L
MANGO HABANERO SALSA G,Mango Habanero Salsa - L Mr Wings,0.09,L
MANGO HOT SALSA G,Mango Hot Salsa - L Mr Wings,0.09,L
MEZCAT SALSA G,Mezcal Salsa - L Mr Wings,0.09,L
NARANJA CHIPOTLE SALSA G,Naranja con Chipotle Salsa - L Mr Wings,0.09,L
TAMARINDO SALSA G,Tamarindo Natural Salsa - L Mr Wings,0.09,L
SRIRACHA SALSA G,Oriental Sriracha Salsa - L Mr Wings,0.09,L
FRESA SPICY SALSA G,Fresa Hot Salsa - L Sirope,0.09,L
MANGO GUAJILLO SALSA G,Bufalo Salsa - L Sirope,0.09,L
FLAMIN HOT SALSA G,Flamin Hot Salsa - L Sirope,0.09,L
JALAPEÑO SPICY SALSA G,Jalapeño Hot (Hot Jalapeño) - L Sirope,0.09,L
BONELESS LEMON PEPPER CH,Lemon Pepper Salsa - L Custom Culinary,0.06,L
BONELESS LEMON PEPPER G,Lemon Pepper Salsa - L Custom Culinary,0.09,L
MALTEADA GATUNA,Bolsa de Hielo Fiesta 15 Kg,0.15,kg
MALTEADA GATUNA,Clavel Polvo Caja 24 piezas 460gr,0.042,kg
MALTEADA GATUNA,TAPA DOMO 16 REYMA,1.0,unid.
FRAPPÉ DE AGUA GRANIZADO,TAPA DOMO 16 REYMA,1.0,unid.
FRAPPÉ DE AGUA GRANIZADO,VASO 16L REYMA,1.0,unid.
PHILADELPHIA CREPA,Rollo Aluminio,1.0,unid.
PHILADELPHIA CREPA,Papel alimenticio,0.005,kg
PHILADELPHIA CREPA,Charola 7 Cuevas,1.0,unid.
