Id.,Categoría,Nombre,Disponibilidad,Unidad,Stock,Unidad.1,Stock Mínimo,Unidad.2,Proveedor,Costo unitario,Costo total
267,Abarrotes,Palillos chinos - 1 par,133.0,unid.,133.0,unid.,20.0,unid.,,77.68,10331.44
250,Abarrotes,Tortillas,4.0,kg,4.0,kg,,,Tienda Abarrotes,13.0,52.0
50,Aceites,Aceite Comestible Puro De Canola Vita 825ml,0.0,L,-6.125,L,0.2,L,Aurrera,39.67,
86,Aceites,Aceite Member 20 L,0.0,L,-294.2,L,,,Sam's Club,43.43,
245,Aderezos,Aderezo Blue Cheese - L,1.573,L,1.573,L,,,MERCADO LIBRE,75.62,118.95026
349,Aderezos,Aderezo Honey Mustard (Mostaza Miel) 3.7kg,1.0,unid.,1.0,unid.,,,Custom Culinary,342.07,342.07
328,Aderezos,Ajo Parmesano Aderezo - L Mr Wings,0.0,L,-0.336,L,,,Mr Wings,,
203,Aderezos,Caldo de pollo Knorr en polvo,0.009,kg,0.009,kg,,,Aurrera,125.0,1.125
337,Aderezos,Hot BBQ L - Custom Culinary,3.785,L,3.785,L,,,Custom Culinary,71.07,268.99995
125,Aderezos,Mayonesa 870g,,,,,,,Aurrera,92.5,
263,Aderezos,Miguelito 1kg,0.0,kg,-2.194,kg,0.05,kg,Dulceria rosita,87.6,
341,Aderezos,Ranch Habanero - L Custom Culinary,0.887,L,0.887,L,,,MERCADO LIBRE,87.84,77.91408
117,Aderezos,Salsa Picante L,0.0,L,-90.277,L,,,Sam's Club,30.0,
320,Aderezos,Salsa Roja Chilaquiles,0.0,unid.,,,,,,,
127,Aderezos,Salsa Verde Chilaquiles,0.0,unid.,,,,,,,
342,Aderezos,Smoky Bbq - L Custom Culinary,0.458,L,0.458,L,,,MERCADO LIBRE,139.13,63.72154
339,Aderezos,Sobre salsa catsup Heinz 9g,,,,,,,Sam's Club,,
107,Agua,Agua Mineral 2L 3B,0.0,L,-223.36,L,4.0,L,3B,6.5,
359,Alimentos en bolsa,BULDAK SWICY,,,,,,,,0.0,
315,Alimentos en bolsa,Maruchan Vaso Queso - 64 Gr,0.0,unid.,0.0,unid.,5.0,unid.,MERCADO LIBRE,15.21,
171,Alimentos en bolsa,Ramen Carbonara - Buldak,0.0,unid.,-15.0,unid.,5.0,unid.,ML - TOYO FOODS,40.0,
329,Alimentos en bolsa,Ramen Carbonara - Volcano,0.0,unid.,0.0,unid.,,,MEGAFOOD,30.41,
233,Alimentos en bolsa,Ramen Cheese - Ottogi,0.0,unid.,-2.0,unid.,5.0,unid.,,52.5,
179,Alimentos en bolsa,Ramen Cream Carbonara - Buldak,0.0,unid.,-17.0,unid.,8.0,unid.,,35.0,
