Id.,Categoría,Código,Nombre,Disponibilidad,Unidad,Stock,Unidad.1,Stock Mínimo,Unidad.2,Proveedor,Costo unitario,Costo total
390,Adicionales,,ADEREZO DE QUESO CH,,,,,,,Sam's Club,,
729,Adicionales,,BLUE CHEESE ADEREZO G,14.0,unid.,,,,,,,
730,Adicionales,,BLUE CHEESE ADEREZO M,28.0,unid.,,,,,,,
275,Adicionales,,CAJUN SAZONADOR G,0.0,unid.,,,,,,,
269,Adicionales,DED8,DEDOS DE QUESO 8 PZA,0.0,unid.,,,,,,,
347,Adicionales,,GRANILLO CHOCOLATE - Decoración crepa,0.0,unid.,,,,,,,
660,Adicionales,,HUEVO PROTEINA,0.0,unid.,,,,,,,
314,Adicionales,,LECHE DESLACTOSADA,0.0,unid.,,,,,,,
313,Adicionales,,LECHE ENTERA,0.0,unid.,,,,,,,
687,Adicionales,,LUNETAS - Toppings Crepa,,,,,,,,,
686,Adicionales,,MANGO EN ALMIBAR - Fruta crepa,0.0,unid.,,,,,,,
464,Adicionales,,MARACUYA - Jellys,,,,,,,COMERCIAL DE VASOS,,
841,Adicionales,,MOSTAZA MIEL ADEREZO G,,,,,,,,,
842,Adicionales,,MOSTAZA MIEL ADEREZO M,0.0,unid.,,,,,,,
661,Adicionales,,POLLO PROTEINA,,,,,,,,,
276,Adicionales,,QUESO CHEDAR SAZONADOR G,,,,,,,,,
266,Adicionales,,RANCH CREMOSO ADEREZO G,0.0,unid.,,,,,,,
812,Adicionales,,RANCH HABANERO ADEREZO G,9.0,unid.,,,,,,,
811,Adicionales,,RANCH HABANERO ADEREZO M,18.0,unid.,,,,,,,
662,Adicionales,,SIN PROTEINA,,,,,,,,,
368,Adicionales,,TAPIOCA,0.0,unid.,,,,,,,
697,Adicionales,,TENDERS PROTEINA,,,,,,,,,
854,Adicionales,,tupsi pop,,,,,,,,,
774,Aguas Frescas,,AGUA DE MANGO - LITRO,,,,,,,,,
665,Bebidas Coreanas,,ARIZONA KIWI FRESA,0.0,unid.,,,,,Sam's Club,14.41,
