Ingrediente,Subingrediente,Cantidad,Unidad
Mayonesa 870g,Mayonesa Cda,75.269,unid.
Rebanada Pan blanco Wonder con ajonjolí 567 g,Pan blanco Wonder con ajonjolí 567 g,0.05,unid.
Champiñones,Champiñones Monte Blanco (380 g),2.632,unid.
Salsa Verde Chilaquiles,Tomate verde en malla 1kg,0.376,kg
Salsa Verde Chilaquiles,Chile Serrano por kilo,0.038,kg
Salsa Verde Chilaquiles,Cebolla,0.094,kg
Salsa Verde Chilaquiles,Caldo de pollo Knorr en polvo,0.035,kg
Salsa Verde Chilaquiles,Chile cuaresmeño por kilo,0.052,kg
Salsa Verde Chilaquiles,Garrafon Agua Bonafont,0.5,L
Salsa Verde Chilaquiles,Chile habanero por kilo,0.013,kg
Mezcla Crepas,HARINA PARA CREPAS,0.186,kg
Mezcla Crepas,Huevo,1.0,unid.
Mezcla Crepas,Vainilla,0.005,L
Mezcla Crepas,Leche Entera - Mermbers 1L,0.4,L
Mezcla Masa Mini Donas Bote,Harina pastel Aurrera,0.125,kg
Mezcla Masa Mini Donas Bote,Huevo,1.0,unid.
Mezcla Masa Mini Donas Bote,Aceite Comestible Puro De Canola Vita 825ml,0.06,L
Mezcla Masa Mini Donas Bote,Leche Entera - Santa Clara 1L,0.245,L
Mezcla Masa Mini Donas Bote,Leche Entera - Mermbers 1L,0.245,L
Aderezo Honey Mustard (Mostaza Miel) 3.7kg,Aderezo Mostaza Miel - Custom Culinary,3.978,L
Salsa Roja Chilaquiles,Garrafon Agua Bonafont,0.5,L
Salsa Roja Chilaquiles,Jitomate saladet por kilo,0.645,kg
Salsa Roja Chilaquiles,Chile guajillo por kilo,0.072,kg
Salsa Roja Chilaquiles,Caldo de pollo Knorr en polvo,0.035,kg
Salsa Roja Chilaquiles,Cebolla,0.032,kg
